Parking Paraguay,"Paraguay 1277, Centro, Montevideo, Montevideo",,,2900 1738,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-5
Parking Rincon,"Rincón 416, Ciudad Vieja, Montevideo, Montevideo",,,2917  0163,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-5
Parking Rio Branco,"Wilson Ferreira Aldunate 1290, Centro, Montevideo, Montevideo",,,2900 5909,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-5
Parking San Jose,"SanJose1224 , Centro, Montevideo, Montevideo",,,2908 7782,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-5
Ritalur Sa,"Galicia 1194, Centro, Montevideo, Montevideo",,,2900 0826,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-5
Rivera Estacionamientos Y Lavadero,"Av Gral Rivera 2172, Cordon, Montevideo, Montevideo",,,2408  6590,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-5
Romero Moreira Reinaldo,"Durazno 1984, Parque Rodo, Montevideo, Montevideo",,,2413  6608,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-5
San Marino,"Colonia 1235, Centro, Montevideo, Montevideo",,,2902  6846,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-6
Serra Lalia Laura Alejandra,"Libertad 2625, Pocitos, Montevideo, Montevideo",,,2708  1609,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-6
Terrasur Sa,"Veinticinco de Mayo 315, Ciudad Vieja, Montevideo, Montevideo",,,2916 7388,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-6
Torre Parking Sa,"Yaguarón 1425, Centro, Montevideo, Montevideo",,,2901 2602,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-6
Universal Park Srl,"Río Negro 1124, Barrio Sur, Montevideo, Montevideo",,,2900 8093,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-6
Columbia Park SRL,"Carlos Quijano 1230 , Centro, Montevideo, Montevideo",,,29031735,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-6
Conomar SA,"PFBerro 1082 , Pocitos, Montevideo, Montevideo",,,27074510,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-6
Dervine SA,"Cerrito 527 , Ciudad Vieja, Montevideo, Montevideo",,,29157021,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-6
El Prado Ltda,"Av Agraciada 2957 , Capurro Bella Vista, Montevideo, Montevideo",,,22000814,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-6
Estacionamiento California,"Colonia 1425 , Centro, Montevideo, Montevideo",,,29005172,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-6
Estacionamiento Rally,"Dr Tristán Narvaja 1579 , Cordon, Montevideo, Montevideo",,,24027073,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-7
Estacionamiento Solis SRL,"Solís 1571 , Ciudad Vieja, Montevideo, Montevideo",,,29151379,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-7
Gutierrez Spangenberg Alvaro,"DrFSimon 2374 , Union, Montevideo, Montevideo",,,24809501,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-7
Parana Parking SRL,"Paraná 723 , Ciudad Vieja, Montevideo, Montevideo",,,29024656,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-7
Parking Intendencia,"Soriano 1374 , Centro, Montevideo, Montevideo",,,29081815,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-7
Puerto de Palos,"Veinticinco de Mayo 278 , Ciudad Vieja, Montevideo, Montevideo",,,29163923,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-7
